5053 1.303000 1490	334 1.216000 1490	418 1.193000 1490
5052 1.315000 1500	277 1.281000 1500	398 1.255000 1500
4885 1.322000 1510	294 1.393000 1510	360 1.205000 1510
4732 1.312000 1520	283 1.195000 1520	270 1.210000 1520
4766 1.331000 1530	197 1.296000 1530	296 1.257000 1530
4962 1.304000 1540	295 1.260000 1540	317 1.212000 1540
4500 1.294000 1550	562 1.252000 1550	309 1.224000 1550
4686 1.290000 1560	319 1.166000 1560	316 1.143000 1560
4375 1.309000 1570	259 1.303000 1570	314 1.320000 1570
4114 1.303000 1580	358 1.197000 1580	281 1.186000 1580
4202 1.310000 1590	642 1.254000 1590	283 1.230000 1590
3950 1.291000 1600	396 1.225000 1600	240 1.181000 1600
4005 1.291000 1610	291 1.358000 1610	256 1.262000 1610
4130 1.278000 1620	612 1.209000 1620	447 1.268000 1620
4413 1.291000 1630	217 1.200000 1630	223 1.361000 1630
4524 1.240000 1640	502 1.177000 1640	317 1.242000 1640
4767 1.249000 1650	539 1.281000 1650	684 1.178000 1650
4652 1.318000 1660	443 1.299000 1660	250 1.264000 1660
4615 1.314000 1670	395 1.545000 1670	450 1.217000 1670
4768 1.317000 1680	253 1.533000 1680	472 1.269000 1680
4842 1.277000 1690	659 1.377000 1690	320 1.200000 1690
5118 1.299000 1700	663 1.327000 1700	520 1.281000 1700
4993 1.297000 1710	367 1.256000 1710	215 1.357000 1710
5045 1.314000 1720	444 1.269000 1720	740 1.332000 1720
5126 1.272000 1730	662 1.318000 1730	260 1.321000 1730
5139 1.283000 1740	294 1.255000 1740	516 1.348000 1740
5132 1.323000 1750	370 1.287000 1750	499 1.280000 1750
4980 1.314000 1760	846 1.340000 1760	518 1.375000 1760
4865 1.304000 1770	673 1.381000 1770	342 1.319000 1770
4724 1.306000 1780	655 1.344000 1780	536 1.379000 1780
4664 1.314000 1790	548 1.357000 1790	446 1.323000 1790
4924 1.288000 1800	513 1.312000 1800	707 1.375000 1800
