4653 1.195000 1340	4271 1.281000 1340	4187 1.287000 1340
4661 1.188000 1350	4269 1.256000 1350	4779 1.287000 1350
5180 1.200000 1360	4184 1.273000 1360	3851 1.247000 1360
4894 1.224000 1370	4504 1.274000 1370	4453 1.293000 1370
5306 1.195000 1380	4280 1.270000 1380	4160 1.318000 1380
5660 1.185000 1390	4535 1.257000 1390	4374 1.279000 1390
5504 1.187000 1400	4733 1.282000 1400	4624 1.298000 1400
5749 1.190000 1410	4821 1.283000 1410	4891 1.275000 1410
5247 1.229000 1420	4885 1.282000 1420	4613 1.327000 1420
5296 1.196000 1430	5065 1.266000 1430	4696 1.304000 1430
4979 1.227000 1440	5194 1.277000 1440	4777 1.283000 1440
5188 1.202000 1450	5191 1.286000 1450	5062 1.292000 1450
5366 1.175000 1460	5164 1.280000 1460	4947 1.324000 1460
4885 1.231000 1470	5175 1.274000 1470	4961 1.312000 1470
4612 1.180000 1480	5293 1.248000 1480	5272 1.316000 1480
4807 1.179000 1490	5149 1.265000 1490	5248 1.299000 1490
5002 1.176000 1500	5040 1.262000 1500	5089 1.330000 1500
4627 1.223000 1510	4855 1.266000 1510	4700 1.322000 1510
4470 1.230000 1520	5057 1.281000 1520	4843 1.325000 1520
4060 1.217000 1530	4366 1.259000 1530	5125 1.288000 1530
4123 1.335000 1540	4423 1.259000 1540	4796 1.315000 1540
4606 1.190000 1550	4605 1.256000 1550	4636 1.283000 1550
4721 1.180000 1560	4470 1.284000 1560	4431 1.291000 1560
5091 1.183000 1570	4284 1.263000 1570	4255 1.273000 1570
5305 1.174000 1580	4306 1.259000 1580	4356 1.264000 1580
5406 1.207000 1590	4424 1.261000 1590	4120 1.288000 1590
5016 1.204000 1600	4500 1.263000 1600	4152 1.323000 1600
5596 1.194000 1610	4571 1.246000 1610	4561 1.299000 1610
5430 1.185000 1620	4525 1.280000 1620	4185 1.309000 1620
5468 1.217000 1630	4478 1.274000 1630	4685 1.272000 1630
5409 1.204000 1640	4875 1.267000 1640	4406 1.305000 1640
5573 1.198000 1650	5086 1.273000 1650	4817 1.262000 1650
5327 1.184000 1660	5039 1.264000 1660	4566 1.319000 1660
5490 1.217000 1670	5148 1.243000 1670	4867 1.319000 1670
5219 1.231000 1680	5143 1.269000 1680	4845 1.299000 1680
5116 1.179000 1690	5339 1.268000 1690	5213 1.282000 1690
5096 1.202000 1700	5383 1.270000 1700	5017 1.327000 1700
4688 1.184000 1710	5215 1.259000 1710	5008 1.298000 1710
4921 1.206000 1720	5070 1.257000 1720	5498 1.296000 1720
4878 1.180000 1730	5469 1.266000 1730	5143 1.289000 1730
4792 1.177000 1740	5014 1.263000 1740	5226 1.325000 1740
4629 1.167000 1750	4913 1.278000 1750	5060 1.323000 1750
4285 1.213000 1760	4820 1.256000 1760	4990 1.313000 1760
4458 1.212000 1770	5014 1.275000 1770	5066 1.292000 1770
4749 1.183000 1780	4348 1.264000 1780	4903 1.298000 1780
4609 1.203000 1790	4606 1.259000 1790	4830 1.303000 1790
4791 1.186000 1800	4600 1.268000 1800	4761 1.331000 1800
