4518 1.213000 1060	4566 1.288000 1060	5056 1.219000 1060	2337 1.236000 1060	1056 1.169000 1060	1798 1.281000 1060
4097 1.180000 1070	3956 1.287000 1070	5298 1.235000 1070	2360 1.311000 1070	1139 1.148000 1070	1931 1.281000 1070
4201 1.206000 1080	4406 1.265000 1080	4700 1.253000 1080	2500 1.222000 1080	1338 1.186000 1080	2246 1.290000 1080
4481 1.190000 1090	4084 1.279000 1090	4307 1.288000 1090	2626 1.277000 1090	1318 1.179000 1090	2010 1.288000 1090
4421 1.186000 1100	4570 1.268000 1100	4143 1.322000 1100	2339 1.242000 1100	1053 1.148000 1100	1889 1.309000 1100
4722 1.182000 1110	4149 1.259000 1110	4494 1.273000 1110	2016 1.207000 1110	1351 1.142000 1110	1963 1.310000 1110
4906 1.196000 1120	4334 1.263000 1120	3936 1.312000 1120	1303 1.201000 1120	1153 1.159000 1120	2175 1.310000 1120
5250 1.204000 1130	4476 1.282000 1130	4384 1.240000 1130	171 1.191000 1130	1103 1.180000 1130	2144 1.295000 1130
5190 1.186000 1140	4469 1.287000 1140	4411 1.269000 1140	275 1.174000 1140	1573 1.155000 1140	2121 1.352000 1140
5398 1.192000 1150	4584 1.273000 1150	4270 1.277000 1150	261 1.161000 1150	1225 1.189000 1150	1850 1.286000 1150
5544 1.210000 1160	4857 1.288000 1160	5003 1.262000 1160	200 1.203000 1160	1144 1.161000 1160	2100 1.325000 1160
5087 1.214000 1170	4911 1.256000 1170	4778 1.315000 1170	293 1.226000 1170	1389 1.169000 1170	1993 1.448000 1170
5385 1.224000 1180	5198 1.276000 1180	4570 1.316000 1180	301 1.167000 1180	1381 1.169000 1180	1779 1.310000 1180
5378 1.220000 1190	5048 1.292000 1190	4554 1.341000 1190	341 1.226000 1190	1318 1.171000 1190	2059 1.385000 1190
5294 1.209000 1200	4992 1.291000 1200	4707 1.335000 1200	177 1.276000 1200	1538 1.168000 1200	2232 1.324000 1200
5476 1.199000 1210	5333 1.266000 1210	4809 1.341000 1210	285 1.219000 1210	1528 1.168000 1210	1812 1.309000 1210
5073 1.184000 1220	4939 1.271000 1220	4886 1.328000 1220	341 1.164000 1220	1403 1.171000 1220	1878 1.338000 1220
5051 1.200000 1230	5235 1.263000 1230	4870 1.276000 1230	225 1.184000 1230	1368 1.164000 1230	1834 1.388000 1230
4800 1.175000 1240	5203 1.278000 1240	5226 1.304000 1240	274 1.156000 1240	1389 1.180000 1240	982 1.277000 1240
4877 1.182000 1250	5219 1.270000 1250	5272 1.281000 1250	269 1.192000 1250	1639 1.170000 1250	560 1.212000 1250
4864 1.181000 1260	4813 1.270000 1260	5143 1.282000 1260	233 1.188000 1260	1538 1.153000 1260	470 1.265000 1260
4906 1.170000 1270	4976 1.258000 1270	4884 1.318000 1270	337 1.188000 1270	1379 1.167000 1270	441 1.196000 1270
4804 1.180000 1280	4501 1.272000 1280	5093 1.277000 1280	319 1.211000 1280	1426 1.149000 1280	392 1.413000 1280
4102 1.213000 1290	4404 1.279000 1290	4785 1.320000 1290	279 1.172000 1290	1757 1.204000 1290	319 1.184000 1290
4016 1.215000 1300	4362 1.279000 1300	4789 1.309000 1300	211 1.253000 1300	1535 1.614000 1300	285 1.245000 1300
4180 1.206000 1310	4259 1.251000 1310	4677 1.324000 1310	452 1.227000 1310	1514 1.352000 1310	307 1.265000 1310
